clip_id,split,accent,tier,domain,duration,transcript,has_drug,drug_terms,has_dose,dose_strings,has_negation,has_entity,gender,age_group,country,speaker_id,path
06e79ca6e3f2bc5a6aefbd7be5f1f8e4,test,hausa,A,clinical,5.0,Remains on iron and trivisol.,True,iron,False,,False,True,Female,19-25,NG,312f2595f31afe889ddc07cf08c5603f,/AfriSpeech-100/test/0127104f-076e-45a7-900c-5f30561657b5/4eeab3e487bbe5da2cadbc4ff4a36595.wav
233b65fe511818e326eff9bffdc2bf6f,test,hausa,A,clinical,5.648979591836735,Isolette weaned Q 3 hours so far this shift.,False,,True,3.0 hours,False,True,Female,19-25,NG,394aa3293e18be269c91b52e9d284440,/AfriSpeech-100/test/faeb03ed-ad14-466b-ac41-30a99b43b8dc/92d68090dde5de35638fc8cbd8f5a293.wav
25e6f14ac3404b1e020eb1279816f8f0,test,hausa,A,clinical,3.226984126984127,P - no evidence of failure,False,,False,,True,True,Female,<18yrs,NG,7f3f4a4d4507fc806a65c816515b49f1,/AfriSpeech-100/test/d3478401-b9bd-4f6a-a921-de4d9cb693c4/348059f3c7a475304738ea1296a7a0e5.wav
27984ad90703cedf54d2c84bfc6e1a3c,test,hausa,A,clinical,11.0,Self-limiting Runs of V-Tach  K+ 3.8 in labs checked at this time repleted with 40 meq of K-Dur.,False,,True,40.0 meq,False,True,Male,19-25,NG,2c67ec7eb6c8af6dfdf7cd455a98ecdd,/AfriSpeech-100/test/b916579e-62a7-45ac-8ca6-3d91e17b7fdc/41ffc1b230e9b1af6a96ab34c09d8cec.wav
27a69c2d378ad815e50f2c5f1c8681c4,test,hausa,A,general,11.496984126984124,"Though swiftly declared wanted after any collapse, the cases against the developers are usually not followed through conclusively.
",False,,False,,True,True,Male,19-25,NG,51d1fc528322408f513b18ab77ffaec9,/AfriSpeech-100/test/1e025069-6b6e-46c1-a22f-d55336c98eef/88d00cfbe86e8658b740c5921bf4dcbe.wav
320840b5470cf91679cb154ecddc4d86,test,hausa,A,clinical,15.0,ELEVATED INR: The patient was given 8 units of fresh frozen plasma with correction of INR.,False,,True,8.0 units,False,True,Female,19-25,NG,394aa3293e18be269c91b52e9d284440,/AfriSpeech-100/test/d098f85a-1203-45ea-b7dc-91bd2ea1b093/77208b0514dc388c5533d2a5a4c2b55e.wav
3460e423c9c3b90911acf68bc70d3723,test,hausa,A,general,10.65498866213152,"It is fair to add that many religious organisations only seem to follow the offerings, and not the welfare, of their congregation these days.
",False,,False,,True,True,Female,19-25,NG,12fe61a50ebfb1d4b0f7d13e146875ad,/AfriSpeech-100/test/56be4d8c-a055-4a6c-bfa8-b58f5a6ca54d/0b97d753f007a0b06b1ddb0ddfa03e83.wav
425756185ac6e34dd2742f59bc7381f8,test,hausa,A,clinical,10.061995464852608,"To prevent corrosion of the battery terminals and connections, lightly coat the metal surfaces with petroleum grease, e.",True,petroleum,False,,False,True,Female,26-40,NG,2a677183e6b91a6ca311261f786dff08,/AfriSpeech-100/test/a73874e9-9b9f-4e1d-b8f1-4421896a53db/5d3ade341cff30b67dd96fcd1d55b522.wav
59d081768f7130a72f303349f532e0b1,test,hausa,A,clinical,17.65498866213152,"Warfarin Coumadin:Three options: Avoid 3 days prior to operation and resume postoperative day 2 admit preoperatively and change to heparin, which can be held only a couple of hours ahead operate through coumadin.",True,warfarin,True,3.0 days,False,True,Male,26-40,NG,67bdae2d1538c647188ae9577d605c8c,/AfriSpeech-100/test/9e6053b1-b42f-4b24-93d3-b1eb88aa389b/e8740fb403888742ec90295f0065c119.wav
8132758125fa0e3156821052a383f9ef,test,hausa,A,clinical,9.738979591836737,"Encounter for supervision of other normal pregnancy, first trimester. TABLET, ORAL-28 CYCLAFEM 7/7/7, ETHINYL ESTRADIOL; NORETHINDRONE, 0.035MG,0.035MG,0.035MG;0.5MG,0.75MG,1MG. Displaced fracture of lateral condyle of unspecified femur, subsequent",True,estradiol|norethindrone,True,0.035 mg|0.035 mg|0.035 mg|0.5 mg|0.75 mg,False,True,Male,19-25,NG,948a1084107579f007e65f5618e10305,/AfriSpeech-100/test/7d0b4739-5bdb-46c2-b1f7-7f4537132b4f/1631b075ae233e27d7ecee74335cdf3f.wav
8b05bff172782a130ebf50e8aeba14a8,test,hausa,A,clinical,13.126984126984128,"A suicide note found at the scene referenced multiple medical problems as well as suggested ingestion of beta blocker, muscle relaxant, and Neurontin .",True,neurontin,False,,False,True,Female,26-40,NG,f2c61c716636428e14be3643792b2662,/AfriSpeech-100/test/3c06c2db-c211-47e5-8228-a3aee5097421/2eaab0ff04238b2619a7d530e1521970.wav
8d34da67104c808c64ab42eb49a251aa,test,hausa,A,clinical,20.35498866213152,3 FENs/o: Cont on 150cc/k/d-- PE 30 with Pm-- abd full/soft.,False,,True,150.0 ml,False,True,Female,26-40,NG,fd72f22b2ae4a523d555c4bc6519fc80,/AfriSpeech-100/test/1f314531-a954-4ca4-97bf-03ddc1970b2a/751485e25fa767eb1b5adde530f62c81.wav
8f938b62694f880c6488230b1a167846,test,hausa,A,clinical,14.372993197278912,"Ileal pouch anal reconstruction is not recommended in these patients because of the risk for development of Crohns disease within the pouch and the high risk of complications, such as fistula, abscess, stricture, pouch dysfunction, and pouch failure.",False,,False,,True,True,Male,41-55,NG,61d4a10ff59af48da195da0582a6d3a9,/AfriSpeech-100/test/f3e20112-285c-4495-8210-b75c3c1182da/edcc3aa2530d8c010d44e2addc803b18.wav
950669fd990036359a84fc27a609d98b,test,hausa,A,clinical,18.23698412698413,"Nondisplaced fracture of unspecified ulna styloid process, subsequent. TABLET, EXTENDED RELEASE, ORAL REQUIP XL, ROPINIROLE HYDROCHLORIDE, EQ 12MG BASE. Exposure to excessive natural heat, sequela",True,ropinirole,True,12.0 mg,False,True,Male,26-40,NG,54494a8026967974d1ac5260c755c00f,/AfriSpeech-100/test/efa50d18-4ed3-4011-bbbc-8cdc5097bba5/0711c08cf07c4838e99ac2b1a9496a5d.wav
